Site,Level,Area,LOT,,ID,RawMaterial,ChertType,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
LP,U,,,D7,3417,Chert,,,Blank,,,,0%,,,Plain,No,No,Parallel,Trapezoidal,Overshoot,Curved,5,Unidirectional,4.51,12.66,12.2,11.27,6.86,40.97,1.6,3.66,87.8,3.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Fire,Burned,Yes,,0,
LP,U,,,C7,1478,Chert,,,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Hinge,Straight,4,Unidirectional,7.77,16.06,13.39,11.4,10.83,41.27,6.27,14.64,0,4.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,YY11,1209,Other,,,Manuport,,,,100%,,Cobble,,No,No,,,,,0,,13.01,0,0,0,0,0,0,0,0,13.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,,,0,
LP,U,,,D7,2312,Quartz,,RockCrystal,Blank,,,,0%,,,Faceted,No,No,Convergent,Irregular,Hinge,Straight,4,Unidirectional,11.51,19.18,14.84,18.16,8.56,24.7,8.4,13.17,106.5,5.1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
LP,U,,,A7,412,Chert,,,Blank,,,,0%,,,Crushed,No,No,Parallel,Triangular,Feather,Straight,2,Unidirectional,4.92,14.46,7.39,14.25,5.34,51.64,2.45,5.4,97,2.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,TVC?
LP,U,,,A10,431,Quartz,,Fine,Shatter,,,,0%,,,,No,No,,,,,0,,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,,,0,
LP,U,,,B9,320,Quartz,,Fine,Blank,,,,0%,,,Plain,No,No,Convergent,Other,Hinge,Curved,1,Unidirectional,8.79,24.66,24.66,18.86,13.09,27.9,6.09,12.79,118.5,7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,ZZ11,797,Other,,Fine,Blank,,,,0%,,Cobble,Crushed,No,No,Convergent,Triangular,Hinge,Straight,3,Unidirectional,11.81,43.1,16.56,38.81,8.14,76.03,4.7,14.22,101.4,33.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
LP,U,,,XX11,1643,Quartz,,Fine,Core,,,,31-60%,,Cobble,,No,No,,,,,0,,33.67,32.74,23.58,31.95,29.53,34.84,32.19,25.47,0,66.8,Other,Quadrangular,Two,Dihedral,Cortical,Cortical,Crushing,Crest,31-60%,1,,,18.98,17.07,27.56,29.12,28.62,97.6,Flakes,,0,,,,,0,,,,,0,,,,,0,,,,NoReason,None,,,,0,
LP,U,,,YY11,1253,Quartz,,Fine,Blank,,,,100%,,Cobble,Plain,YesComplete,No,Convergent,Other,Hinge,Straight,0,,17.46,25.96,25.81,22.11,11.47,36.39,15.73,26.48,100.6,19.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
